,threshold,depth,n_estimators,puf_seed,train_challenge_seed,test_challenge_seed,Test split Accuracy,Test split F1,Cross_val Accuracy,Cross_val sd,Cross_val split F1,Cross_val F1 sd
18,0.05,6.0,300.0,11.0,123.0,19.0,50.03999999999999,35.184224182667364,52.080000000000005,0.7934733769950957,63.57622892041201,2.664307456745709
19,0.05,7.0,300.0,11.0,123.0,19.0,49.68,50.70532915360501,51.94,0.8912911982062885,63.39053086737294,2.6433967446695403
20,0.05,8.0,300.0,11.0,123.0,19.0,50.92,61.37865911237016,52.44,0.5642694391866359,62.57033611105286,0.6282052643843536
21,0.001,2.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.21908902300206662,98.06781040680775,0.21325229276036323
22,0.001,3.0,300.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,97.99999999999999,0.2828427124746193,98.06786611819035,0.27342333964428245
23,0.001,4.0,300.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,97.98,0.2785677655436826,98.04915210852701,0.26828070804088694
24,0.001,5.0,300.0,11.0,123.0,19.0,97.89999999999999,97.97336421540244,98.00000000000001,0.14142135623730964,98.0681816923508,0.13386690160338816
25,0.001,6.0,300.0,11.0,123.0,19.0,97.98,98.0490631639946,97.98,0.29257477676655613,98.04967677910221,0.2831674583098311
26,0.001,7.0,300.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,97.98,0.35440090293338733,98.05011541480229,0.33952001135438564
27,0.001,8.0,300.0,11.0,123.0,19.0,97.88,97.95445773832498,97.98,0.04000000000000003,98.04912318663266,0.03517843539496971
28,0.005,2.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.5692099788303088,98.06606115838508,0.5567738469524902
29,0.005,3.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.5019960159204457,98.06754098057682,0.48709556075933996
30,0.005,4.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.5796550698475781,98.06652689470108,0.5660689382334119
31,0.005,5.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.20976176963403048,98.06787789508768,0.20407309815516425
32,0.005,6.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.37947331922020583,98.06844269810766,0.3644098999157956
33,0.005,7.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.3033150177620623,98.0682697208272,0.29115672763284667
34,0.005,8.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.6603029607687676,98.06803905484891,0.638006876491158
35,0.0001,2.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.509901951359279,98.06674963405911,0.4984989061341082
36,0.0001,3.0,300.0,11.0,123.0,19.0,97.98,98.0490631639946,98.00000000000001,0.3633180424916993,98.06825136907543,0.3495849564507846
37,0.0001,4.0,300.0,11.0,123.0,19.0,97.92,97.99305287533771,97.99999999999999,0.39496835316263035,98.06772016426903,0.3838126274648493
38,0.0001,5.0,300.0,11.0,123.0,19.0,97.98,98.0490631639946,98.00000000000001,0.4604345773288539,98.06752927481305,0.4461925820457817
39,0.0001,6.0,300.0,11.0,123.0,19.0,97.96000000000001,98.03012746234067,97.98,0.14696938456699082,98.04919225915481,0.13992341764805644
40,0.0001,7.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.97999999999998,0.5706137047074846,98.04949158866316,0.5486316529764572
41,0.0001,8.0,300.0,11.0,123.0,19.0,97.92,97.992277992278,97.98,0.35440090293338733,98.04897261972283,0.3425594484895547
42,0.0005,2.0,300.0,11.0,123.0,19.0,98.0,98.0680061823802,97.99999999999999,0.3346640106136305,98.06763048401504,0.32480470520549276
43,0.0005,3.0,300.0,11.0,123.0,19.0,97.98,98.0490631639946,97.99999999999999,0.21908902300206667,98.06764180519943,0.21504718414458698
44,0.0005,4.0,300.0,11.0,123.0,19.0,97.88,97.95445773832498,98.00000000000001,0.2828427124746193,98.06768495372935,0.27621787336271797
45,0.0005,5.0,300.0,11.0,123.0,19.0,97.89999999999999,97.97336421540244,97.99999999999999,0.2280350850198278,98.06772272489738,0.22304194506682257
46,0.0005,6.0,300.0,11.0,123.0,19.0,97.92,97.992277992278,97.98,0.24819347291981736,98.04869482372827,0.24282047582321106
47,0.0005,7.0,300.0,11.0,123.0,19.0,97.89999999999999,97.97336421540244,98.00000000000001,0.4732863826479697,98.06768827457057,0.45871857842763397
48,0.0005,8.0,300.0,11.0,123.0,19.0,97.98,98.04981656690482,98.00000000000001,0.3405877273185283,98.0674431825836,0.3326617650112106
